"id1" "id2"
"53479" "3_internal_11864" "22_internal_3429"
"19830" "1_internal_20866" "2_internal_14383"
"70573" "6_internal_10358" "16_internal_5606"
"47085" "2_internal_20727" "8_internal_7499"
"74441" "7_internal_9046" "11_internal_7924"
"25218" "1_internal_16329" "4_internal_7218"
"79251" "8_internal_7499" "13_internal_4124"
"30019" "17_internal_7876" "18_internal_3399"
"48884" "3_internal_11864" "10_internal_7733"
"45179" "2_internal_13479" "5_internal_8263"
"78571" "8_internal_7036" "11_internal_7625"
"64724" "5_internal_8274" "17_internal_7924"
"5314" "11_internal_7683" "15_internal_5707"
"20273" "1_internal_16191" "2_internal_13479"
"17001" "12_internal_8949" "19_internal_5811"
"23623" "14_internal_5558" "17_internal_7924"
"78569" "8_internal_7036" "11_internal_7586"
"29649" "1_internal_16768" "6_internal_10689"
"80868" "8_internal_7036" "19_internal_5968"
"18200" "12_internal_8652" "21_internal_2157"
"78217" "8_internal_7057" "11_internal_7844"
"10451" "1_internal_15656" "14_internal_5646"
"37758" "2_internal_14113" "13_internal_4070"
"4203" "11_internal_7683" "12_internal_8617"
"27817" "1_internal_17173" "5_internal_8133"
"14760" "1_internal_15899" "20_internal_4749"
"49985" "3_internal_11622" "12_internal_8486"
"27493" "1_internal_16731" "5_internal_8482"
"47258" "2_internal_13803" "8_internal_8962"
"50431" "3_internal_10953" "13_internal_3981"
"19785" "1_internal_19695" "2_internal_14383"
"51123" "3_internal_11816" "15_internal_5446"
"55441" "3_internal_10883" "7_internal_8021"
"19934" "1_internal_15832" "2_internal_13354"
"24022" "14_internal_6921" "19_internal_6803"
"23658" "14_internal_5443" "17_internal_7654"
"10807" "1_internal_16533" "14_internal_5530"
"150" "10_internal_7711" "11_internal_7844"
"28626" "16_internal_8086" "21_internal_3618"
"10335" "1_internal_16068" "14_internal_5530"
"40261" "2_internal_13354" "17_internal_8640"
"5625" "11_internal_7856" "15_internal_5707"
"70385" "6_internal_10689" "15_internal_6532"
"49299" "3_internal_11816" "11_internal_7683"
"18257" "12_internal_8546" "21_internal_2668"
"44594" "2_internal_13513" "4_internal_7677"
"69366" "6_internal_10291" "12_internal_8665"
"63732" "5_internal_8133" "13_internal_3849"
"24043" "14_internal_5558" "19_internal_6081"
"20316" "1_internal_16768" "2_internal_14232"
"26983" "1_internal_16036" "5_internal_8304"
"6169" "11_internal_7625" "17_internal_8288"
"67492" "5_internal_8375" "8_internal_7036"
"8818" "1_internal_17181" "12_internal_8486"
"54603" "3_internal_11879" "5_internal_8477"
"31357" "1_internal_16068" "7_internal_8412"
"64281" "5_internal_8133" "15_internal_5551"
"31182" "17_internal_7654" "22_internal_3328"
"78231" "8_internal_7362" "11_internal_7856"
"43621" "2_internal_14766" "3_internal_11816"
"79233" "8_internal_7091" "13_internal_4070"
"63447" "5_internal_8654" "12_internal_8639"
"19543" "1_internal_18280" "2_internal_20727"
"22437" "1_internal_16135" "3_internal_11816"
"35302" "2_internal_13569" "10_internal_9297"
"54217" "3_internal_10883" "5_internal_8304"
"16151" "12_internal_13817" "17_internal_7654"
"57552" "4_internal_7373" "12_internal_9107"
"21582" "13_internal_4070" "20_internal_4749"
"50829" "3_internal_11639" "14_internal_5530"
"5209" "11_internal_8098" "14_internal_5530"
"48532" "3_internal_11323" "10_internal_8331"
"6382" "11_internal_8104" "17_internal_8298"
"36413" "2_internal_13718" "11_internal_7586"
"51398" "3_internal_10865" "16_internal_5606"
"29642" "1_internal_16768" "6_internal_10358"
"24879" "1_internal_15656" "4_internal_7391"
"38055" "2_internal_13337" "14_internal_5530"
"15627" "12_internal_8486" "15_internal_5446"
"8817" "1_internal_17181" "12_internal_8617"
"10683" "1_internal_15832" "14_internal_5530"
"84520" "9_internal_6626" "21_internal_2286"
"28120" "16_internal_5606" "18_internal_3090"
"45136" "2_internal_13569" "5_internal_8482"
"16657" "12_internal_8652" "18_internal_3090"
"44335" "2_internal_13569" "4_internal_8302"
"8602" "11_internal_7683" "22_internal_3660"
"7026" "1_internal_17181" "11_internal_7586"
"59318" "4_internal_7359" "18_internal_3399"
"23219" "14_internal_5554" "15_internal_5512"
"41894" "2_internal_13354" "20_internal_4839"
"78838" "8_internal_8637" "12_internal_10810"
"17028" "12_internal_9089" "19_internal_5998"
"20321" "1_internal_16768" "2_internal_13354"
"23716" "14_internal_5554" "17_internal_7924"
"46235" "2_internal_13354" "6_internal_10689"
"38518" "2_internal_13354" "14_internal_5664"
"64933" "5_internal_8394" "17_internal_7928"
"3765" "1_internal_16135" "10_internal_8033"
"36086" "2_internal_13204" "11_internal_7856"
"37451" "2_internal_14060" "12_internal_8652"
"78702" "8_internal_7362" "12_internal_8486"
"15978" "12_internal_8847" "16_internal_6481"
"11123" "1_internal_18945" "15_internal_5691"
"72964" "6_internal_10254" "8_internal_8962"
"49459" "3_internal_11256" "11_internal_7586"
"25706" "15_internal_5512" "17_internal_7924"
"72366" "6_internal_10917" "22_internal_3429"
"51904" "3_internal_11256" "17_internal_7821"
"80166" "8_internal_8862" "17_internal_7914"
"57788" "4_internal_7282" "12_internal_9055"
"14916" "12_internal_10810" "13_internal_4163"
"7375" "1_internal_17138" "11_internal_7586"
"42285" "2_internal_13569" "21_internal_2262"
