communities.names	communities.membership
20_internal_7135	1
20_internal_7304	1
20_internal_7327	1
20_internal_7466	1
20_internal_7597	1
20_internal_7618	1
20_internal_7640	1
20_internal_7667	1
20_internal_7674	1
21_internal_2306	1
21_internal_2357	1
21_internal_2371	1
21_internal_2384	1
21_internal_2393	1
21_internal_2447	1
21_internal_2503	1
21_internal_2505	1
21_internal_2514	1
21_internal_2532	1
21_internal_2538	1
21_internal_2550	1
21_internal_2613	1
21_internal_2656	1
21_internal_2667	1
21_internal_2704	1
21_internal_2726	1
21_internal_2770	1
21_internal_2921	1
21_internal_2945	1
21_internal_3009	1
21_internal_3041	1
21_internal_3046	1
21_internal_3073	1
21_internal_3123	1
21_internal_3129	1
21_internal_3156	1
