from to weigth
14_internal_5429 22_internal_3232 1
1_internal_15992 12_internal_8556 1
10_internal_10723 11_internal_7699 1
14_internal_5612 22_internal_3269 1
14_internal_5612 19_internal_5935 1
1_internal_15762 14_internal_5758 1
17_internal_8096 20_internal_4555 1
11_internal_7755 14_internal_7137 1
4_internal_7069 5_internal_8127 1
6_internal_9758 17_internal_7955 1
1_internal_16097 6_internal_10512 1
11_internal_7668 19_internal_6190 1
8_internal_6685 20_internal_5477 1
3_internal_10816 8_internal_8933 1
1_internal_16355 6_internal_10512 1
3_internal_11034 20_internal_4555 1
5_internal_8811 19_internal_5846 1
5_internal_8127 22_internal_3232 1
14_internal_5404 21_internal_2547 1
1_internal_15888 9_internal_6712 2
6_internal_9751 8_internal_6895 1
6_internal_9751 22_internal_3232 1
10_internal_7677 19_internal_6118 1
8_internal_6895 11_internal_7579 1
8_internal_7137 14_internal_7137 1
4_internal_7069 7_internal_8144 1
7_internal_7931 19_internal_5928 1
6_internal_9751 19_internal_5859 1
3_internal_10724 14_internal_5549 1
16_internal_5534 19_internal_8727 1
6_internal_9794 10_internal_10743 1
7_internal_7931 21_internal_2145 1
1_internal_16864 10_internal_10723 1
2_internal_13478 20_internal_5052 1
11_internal_7579 19_internal_6441 1
6_internal_9751 7_internal_8144 1
20_internal_4527 21_internal_2145 1
1_internal_15762 5_internal_8538 1
8_internal_8933 21_internal_2547 1
1_internal_15756 7_internal_8123 1
6_internal_9751 14_internal_5612 1
1_internal_16018 6_internal_10068 1
11_internal_7668 12_internal_8556 1
11_internal_8431 19_internal_6361 1
10_internal_10743 12_internal_8583 1
17_internal_7683 19_internal_6250 1
1_internal_16156 17_internal_8163 1
15_internal_5493 19_internal_5846 1
5_internal_8406 20_internal_4605 1
20_internal_4570 22_internal_3674 1
1_internal_15823 5_internal_8538 1
1_internal_16018 17_internal_8231 1
1_internal_16198 8_internal_7063 1
6_internal_10481 14_internal_5404 1
1_internal_16355 3_internal_10816 1
2_internal_13478 4_internal_6953 1
11_internal_8369 20_internal_5477 1
3_internal_11810 8_internal_8933 1
5_internal_8189 11_internal_7766 1
11_internal_7755 17_internal_7964 1
13_internal_3755 14_internal_5404 1
1_internal_17069 6_internal_10481 1
14_internal_5707 20_internal_4570 1
1_internal_17606 2_internal_13478 1
6_internal_10802 18_internal_3333 1
3_internal_13402 11_internal_7755 1
1_internal_15762 19_internal_5985 1
6_internal_9794 19_internal_6283 1
6_internal_9889 11_internal_7766 1
11_internal_7579 22_internal_3674 1
1_internal_15762 17_internal_8038 1
7_internal_8036 19_internal_5935 1
1_internal_16435 8_internal_6743 1
1_internal_16047 5_internal_8201 1
1_internal_17069 4_internal_6993 1
3_internal_12517 8_internal_6685 1
8_internal_7137 12_internal_9138 1
7_internal_8123 11_internal_8290 1
12_internal_9138 15_internal_5574 1
1_internal_15762 19_internal_5846 1
2_internal_14249 11_internal_7668 1
6_internal_9758 7_internal_8036 1
2_internal_14648 19_internal_6929 1
1_internal_16864 12_internal_9138 1
6_internal_9794 8_internal_7063 1
5_internal_8538 17_internal_7683 1
15_internal_6003 19_internal_8727 1
7_internal_7931 22_internal_3268 1
1_internal_16435 2_internal_13478 1
11_internal_9931 14_internal_5404 1
1_internal_17606 6_internal_9898 1
1_internal_15992 20_internal_4555 1
10_internal_7677 19_internal_6283 1
5_internal_8127 20_internal_4555 1
4_internal_6953 6_internal_9898 1
1_internal_16680 6_internal_9751 1
10_internal_8305 20_internal_4946 1
19_internal_5935 22_internal_3268 1
3_internal_11034 14_internal_5549 1
